Time(s), X, Y, Z,Gesture
1418318374.969,648,1032,1168,Brush Teeth
1418318375.052,160,952,-1824,Brush Teeth
1418318375.218,680,1072,456,Brush Teeth
1418318375.301,336,1264,-1168,Brush Teeth
1418318375.384,1152,1064,1032,Brush Teeth
1418318375.470,544,912,-1216,Brush Teeth
1418318375.550,576,552,0,Brush Teeth
1418318375.633,680,496,-80,Brush Teeth
1418318375.716,360,-8,-928,Brush Teeth
1418318375.965,808,-384,432,Brush Teeth
1418318376.048,752,152,-344,Brush Teeth
1418318376.131,816,-480,-176,Brush Teeth
1418318376.214,1424,304,-72,Brush Teeth
1418318376.298,720,-288,-520,Brush Teeth
1418318376.381,984,440,-120,Brush Teeth
1418318376.464,920,-128,16,Brush Teeth
1418318376.547,704,-592,-488,Brush Teeth
1418318376.634,1104,280,-296,Brush Teeth
1418318376.921,1000,152,-200,Brush Teeth
1418318377.045,1032,296,-752,Brush Teeth
1418318377.128,792,160,-272,Brush Teeth
1418318377.211,648,-280,-536,Brush Teeth
1418318377.294,1152,368,-400,Brush Teeth
1418318377.377,528,-496,-312,Brush Teeth
1418318377.460,1120,120,-464,Brush Teeth
1418318377.543,1080,240,-512,Brush Teeth
1418318377.626,544,-384,-440,Brush Teeth
1418318377.709,1208,824,-512,Brush Teeth
1418318377.792,736,32,-216,Brush Teeth
1418318377.875,656,-8,-600,Brush Teeth
1418318377.958,1168,392,-408,Brush Teeth
1418318378.041,472,-520,-360,Brush Teeth
1418318378.125,1200,520,-520,Brush Teeth
1418318378.208,856,224,-344,Brush Teeth
1418318378.291,712,-192,-384,Brush Teeth
1418318378.374,1112,448,-280,Brush Teeth
1418318378.457,616,-128,-624,Brush Teeth
1418318378.540,1304,720,248,Brush Teeth
1418318378.625,848,144,-696,Brush Teeth
1418318378.706,736,-48,200,Brush Teeth
1418318378.789,912,-96,-8,Brush Teeth
1418318378.872,616,-608,-872,Brush Teeth
1418318378.955,1152,112,344,Brush Teeth
1418318379.038,720,-528,-1192,Brush Teeth
1418318379.121,1040,-192,368,Brush Teeth
1418318379.204,944,128,-432,Brush Teeth
1418318379.287,608,-384,-584,Brush Teeth
1418318379.370,1120,120,232,Brush Teeth
1418318379.453,608,-616,-1008,Brush Teeth
1418318379.541,904,-360,-288,Brush Teeth
1418318379.619,1112,136,-192,Brush Teeth
1418318379.702,544,-368,-1056,Brush Teeth
1418318379.785,1272,232,488,Brush Teeth
1418318380.869,1112,-400,232,Brush Teeth
1418318381.031,968,-264,-48,Brush Teeth
1418318381.123,448,-912,-704,Brush Teeth
1418318381.197,920,32,72,Brush Teeth
1418318381.280,520,-912,-776,Brush Teeth
1418318381.363,912,-672,32,Brush Teeth
1418318381.446,752,-264,-320,Brush Teeth
1418318381.529,544,-936,-472,Brush Teeth
1418318381.612,984,144,-120,Brush Teeth
1418318381.695,632,-416,-360,Brush Teeth
1418318381.778,1016,440,-840,Brush Teeth
1418318381.862,592,-544,-280,Brush Teeth
1418318381.944,584,-464,16,Brush Teeth
1418318382.027,800,-120,-264,Brush Teeth
1418318382.110,600,-944,-464,Brush Teeth
1418318382.193,904,32,-792,Brush Teeth
1418318382.276,688,-728,-256,Brush Teeth
1418318382.359,584,-776,-472,Brush Teeth
1418318382.442,920,128,-680,Brush Teeth
1418318382.525,504,-1088,-400,Brush Teeth
1418318382.608,624,-408,-664,Brush Teeth
1418318382.691,816,-528,-376,Brush Teeth
1418318382.940,496,-928,-424,Brush Teeth
1418318383.023,648,-240,-344,Brush Teeth
1418318383.106,736,-128,-280,Brush Teeth
1418318383.189,680,-144,-608,Brush Teeth
1418318383.272,1112,496,-496,Brush Teeth
1418318383.355,496,-296,-632,Brush Teeth
1418318383.438,1232,1016,88,Brush Teeth
1418318383.521,680,-96,-496,Brush Teeth
1418318383.604,520,152,-464,Brush Teeth
1418318383.687,1120,720,-488,Brush Teeth
1418318383.771,288,32,-504,Brush Teeth
1418318383.854,1176,1088,264,Brush Teeth
1418318383.937,848,432,-144,Brush Teeth
1418318384.020,448,192,-560,Brush Teeth
1418318384.103,1160,824,-240,Brush Teeth
1418318384.186,368,-280,-688,Brush Teeth
1418318384.269,968,552,8,Brush Teeth
1418318384.352,992,424,-136,Brush Teeth
1418318384.684,736,480,-96,Brush Teeth
1418318384.767,1224,688,-160,Brush Teeth
1418318384.850,424,248,-440,Brush Teeth
1418318384.933,1104,1320,376,Brush Teeth
1418318385.016,560,448,-480,Brush Teeth
1418318385.265,480,192,-480,Brush Teeth
1418318385.348,1120,800,-248,Brush Teeth
1418318385.431,648,184,-424,Brush Teeth
1418318385.514,800,472,8,Brush Teeth
1418318385.597,904,408,-544,Brush Teeth
1418318385.686,464,88,-736,Brush Teeth
1418318385.763,1408,1008,368,Brush Teeth
1418318386.436,1248,816,344,Brush Teeth
1418318386.511,992,424,-312,Brush Teeth
1418318386.677,1096,928,200,Brush Teeth
1418318386.760,472,-8,-1032,Brush Teeth
1418318386.843,672,32,-424,Brush Teeth
1418318386.926,1040,976,-240,Brush Teeth
1418318387.009,400,128,-840,Brush Teeth
1418318387.092,1192,920,408,Brush Teeth
1418318387.175,880,416,-608,Brush Teeth
1418318387.258,432,80,-752,Brush Teeth
1418318387.341,1096,744,152,Brush Teeth
1418318387.424,336,-64,-840,Brush Teeth
1418318387.507,896,40,-544,Brush Teeth
1418318387.590,976,304,-512,Brush Teeth
1418318387.673,464,-168,-1264,Brush Teeth
1418318387.922,1288,320,608,Brush Teeth
1418318388.005,872,440,-816,Brush Teeth
1418318388.088,632,136,-840,Brush Teeth
1418318388.171,1056,352,552,Brush Teeth
1418318388.254,488,-136,-1368,Brush Teeth
1418318388.337,1432,224,1800,Brush Teeth
1418318388.420,768,288,-1104,Brush Teeth
1418318388.503,688,32,-560,Brush Teeth
1418318388.587,1192,104,632,Brush Teeth
1418318388.670,216,360,-1944,Brush Teeth
1418318388.753,1272,200,960,Brush Teeth
1418318388.839,848,120,-792,Brush Teeth
1418318388.919,840,0,-368,Brush Teeth
1418318389.002,1008,208,16,Brush Teeth
1418318389.085,568,8,-1008,Brush Teeth
1418318389.168,1112,72,848,Brush Teeth
1418318389.251,496,-72,-1000,Brush Teeth
1418318389.334,1040,32,296,Brush Teeth
1418318389.417,1048,136,-144,Brush Teeth
1418318389.500,880,-24,-416,Brush Teeth
1418318389.583,1280,768,8,Brush Teeth
1418318389.666,504,-376,-592,Brush Teeth
1418318389.750,952,160,-344,Brush Teeth
1418318389.833,1000,280,-232,Brush Teeth
1418318389.916,568,-216,-264,Brush Teeth
1418318389.999,1184,976,-224,Brush Teeth
1418318390.082,552,-208,-344,Brush Teeth
1418318390.165,712,264,-400,Brush Teeth
1418318390.248,1080,576,-160,Brush Teeth
1418318390.331,600,168,-504,Brush Teeth
1418318390.414,1176,1176,-144,Brush Teeth
1418318390.497,480,-48,-368,Brush Teeth
1418318390.580,448,496,-240,Brush Teeth
1418318390.666,1272,760,-384,Brush Teeth
1418318390.746,312,56,-288,Brush Teeth
1418318390.830,1272,928,-128,Brush Teeth
1418318390.913,928,416,-200,Brush Teeth
1418318390.996,448,-56,-584,Brush Teeth
1418318391.079,1328,936,-208,Brush Teeth
1418318391.162,320,16,-288,Brush Teeth
1418318391.245,440,360,-456,Brush Teeth
1418318391.328,1232,368,-408,Brush Teeth
1418318392.118,664,-352,-432,Brush Teeth
1418318392.409,960,-64,-544,Brush Teeth
1418318392.490,640,-456,-528,Brush Teeth
1418318392.573,976,552,-440,Brush Teeth
1418318392.656,760,-328,-400,Brush Teeth
1418318392.739,936,-112,-640,Brush Teeth
1418318392.822,960,-8,-488,Brush Teeth
1418318392.905,536,-632,-384,Brush Teeth
1418318392.988,992,560,-816,Brush Teeth
1418318393.071,776,-368,-216,Brush Teeth
1418318393.154,752,-256,-576,Brush Teeth
1418318393.237,1064,232,-648,Brush Teeth
1418318393.320,600,-768,-112,Brush Teeth
1418318393.408,960,200,-928,Brush Teeth
1418318393.486,824,-112,-344,Brush Teeth
1418318393.569,784,-240,-440,Brush Teeth
1418318393.652,1048,392,-560,Brush Teeth
1418318393.735,640,-344,-240,Brush Teeth
1418318393.818,1008,672,-712,Brush Teeth
1418318393.901,792,-192,-64,Brush Teeth
1418318393.984,744,128,-976,Brush Teeth
1418318394.067,1008,-48,-520,Brush Teeth
1418318394.150,640,-512,-136,Brush Teeth
1418318394.400,816,-240,-256,Brush Teeth
1418318394.483,992,424,-464,Brush Teeth
1418318394.566,736,-128,-168,Brush Teeth
1418318394.649,888,1088,-616,Brush Teeth
1418318394.732,672,-208,-656,Brush Teeth
1418318394.815,776,944,-536,Brush Teeth
1418318394.898,784,544,-312,Brush Teeth
1418318394.981,608,160,-360,Brush Teeth
1418318395.064,912,944,-160,Brush Teeth
1418318395.147,456,216,-248,Brush Teeth
1418318395.230,736,824,-360,Brush Teeth
1418318395.313,760,520,-272,Brush Teeth
1418318395.396,456,160,-440,Brush Teeth
1418318395.479,976,808,-504,Brush Teeth
1418318395.562,472,272,-328,Brush Teeth
1418318395.645,800,768,-488,Brush Teeth
1418318395.728,720,632,-360,Brush Teeth
1418318395.811,600,296,-440,Brush Teeth
1418318395.894,992,568,-456,Brush Teeth
1418318395.977,624,-96,-376,Brush Teeth
1418318396.060,904,664,-336,Brush Teeth
1418318396.143,824,528,-312,Brush Teeth
1418318396.226,608,24,-216,Brush Teeth
1418318396.392,624,0,-368,Brush Teeth
1418318396.475,864,496,-344,Brush Teeth
1418318396.558,856,352,-352,Brush Teeth
1418318396.641,688,-56,-120,Brush Teeth
1418318396.724,1064,848,-472,Brush Teeth
1418318396.807,792,80,-400,Brush Teeth
1418318396.890,680,-136,-456,Brush Teeth
1418318396.973,1048,456,-536,Brush Teeth
1418318397.056,712,-200,-344,Brush Teeth
1418318398.868,1080,776,-424,Brush Teeth
1418318398.966,528,-304,-504,Brush Teeth
1418318399.132,728,56,-536,Brush Teeth
1418318399.464,1248,600,112,Brush Teeth
1418318399.547,712,96,-704,Brush Teeth
1418318399.630,536,-624,-328,Brush Teeth
1418318399.713,1136,264,-160,Brush Teeth
1418318399.796,440,-512,-1312,Brush Teeth
1418318399.879,1048,-112,120,Brush Teeth
1418318399.962,864,-120,-304,Brush Teeth
1418318400.045,464,-128,-1496,Brush Teeth
1418318400.128,1200,336,448,Brush Teeth
1418318400.211,712,104,-616,Brush Teeth
1418318400.294,520,352,-976,Brush Teeth
1418318400.377,1152,432,168,Brush Teeth
1418318400.460,448,96,-1656,Brush Teeth
1418318400.543,888,88,-200,Brush Teeth
1418318400.628,1056,272,32,Brush Teeth
1418318400.709,328,272,-1400,Brush Teeth
1418318400.792,1120,184,72,Brush Teeth
1418318400.875,760,96,-1024,Brush Teeth
1418318400.958,448,40,-1240,Brush Teeth
1418318401.041,848,104,-232,Brush Teeth
1418318401.125,96,-64,-1088,Brush Teeth
1418318401.208,680,-288,128,Brush Teeth
1418318401.293,736,-200,-1032,Brush Teeth
1418318401.374,624,-592,-1096,Brush Teeth
1418318401.457,1184,-376,392,Brush Teeth
1418318401.540,440,-752,-1344,Brush Teeth
1418318401.623,848,-296,440,Brush Teeth
1418318401.706,768,-120,-264,Brush Teeth
1418318401.789,504,-576,-912,Brush Teeth
1418318401.872,1016,-328,704,Brush Teeth
1418318401.955,496,-648,-1248,Brush Teeth
1418318402.038,912,-336,456,Brush Teeth
1418318402.121,1040,-176,-152,Brush Teeth
1418318402.205,584,-472,-1264,Brush Teeth
1418318402.288,1176,-112,784,Brush Teeth
1418318402.371,744,-280,-1184,Brush Teeth
1418318402.454,632,-328,-528,Brush Teeth
1418318402.541,1048,-8,456,Brush Teeth
1418318402.620,536,-416,-1416,Brush Teeth
1418318402.703,960,-192,232,Brush Teeth
1418318402.786,984,-80,-144,Brush Teeth
1418318402.869,408,-328,-1152,Brush Teeth
1418318402.952,1248,296,560,Brush Teeth
1418318403.035,704,56,-1296,Brush Teeth
1418318403.119,552,208,-728,Brush Teeth
1418318403.201,1096,192,232,Brush Teeth
1418318403.284,456,232,-1608,Brush Teeth
1418318403.367,1096,240,232,Brush Teeth
1418318403.455,1040,176,48,Brush Teeth
1418318403.533,504,352,-1384,Brush Teeth
1418318403.616,1288,384,752,Brush Teeth
1418318403.699,808,328,-720,Brush Teeth
1418318403.782,696,144,-576,Brush Teeth
1418318405.582,1240,232,696,Brush Teeth
1418318405.691,600,-120,-1088,Brush Teeth
1418318405.774,1480,272,24,Brush Teeth
1418318405.857,792,248,-640,Brush Teeth
1418318405.940,728,32,-232,Brush Teeth
1418318406.023,1184,512,-448,Brush Teeth
1418318406.106,456,-408,-304,Brush Teeth
1418318406.189,1040,72,-432,Brush Teeth
1418318406.522,880,-168,-216,Brush Teeth
1418318406.605,912,-240,-344,Brush Teeth
1418318406.688,1088,144,-552,Brush Teeth
1418318406.771,544,-312,-72,Brush Teeth
1418318406.854,1104,88,-632,Brush Teeth
1418318406.938,888,280,-344,Brush Teeth
1418318407.020,568,-96,-416,Brush Teeth
1418318407.103,1048,392,-648,Brush Teeth
1418318407.186,528,-360,-176,Brush Teeth
1418318407.269,1000,112,-768,Brush Teeth
1418318407.352,880,112,-384,Brush Teeth
1418318407.435,616,-240,-664,Brush Teeth
1418318407.518,1112,280,-680,Brush Teeth
1418318407.601,544,-472,-224,Brush Teeth
1418318407.684,968,184,-792,Brush Teeth
1418318407.767,968,120,-368,Brush Teeth
1418318407.851,632,-168,-280,Brush Teeth
1418318407.933,1112,848,-688,Brush Teeth
1418318408.016,672,-200,-248,Brush Teeth
1418318408.191,1096,536,-456,Brush Teeth
1418318408.265,512,-48,-504,Brush Teeth
1418318408.348,1016,792,-416,Brush Teeth
1418318408.431,744,368,-272,Brush Teeth
1418318408.514,520,-32,-832,Brush Teeth
1418318408.602,1080,584,-624,Brush Teeth
1418318408.680,480,-184,-216,Brush Teeth
1418318408.764,1008,784,-632,Brush Teeth
1418318408.846,752,344,-256,Brush Teeth
1418318408.929,552,-72,-784,Brush Teeth
1418318409.012,1080,624,-496,Brush Teeth
1418318409.095,456,-320,-352,Brush Teeth
1418318409.178,976,504,-584,Brush Teeth
1418318409.262,824,96,-376,Brush Teeth
1418318409.345,456,-112,-680,Brush Teeth
1418318409.428,1080,568,-584,Brush Teeth
1418318409.511,464,-272,-424,Brush Teeth
1418318409.594,904,536,-672,Brush Teeth
1418318409.677,1008,312,-200,Brush Teeth
1418318409.760,616,368,-568,Brush Teeth
1418318409.844,848,472,-288,Brush Teeth
1418318409.926,480,-24,-832,Brush Teeth
1418318410.009,1168,760,-184,Brush Teeth
1418318410.176,752,304,-608,Brush Teeth
1418318410.258,1080,440,-536,Brush Teeth
1418318410.341,440,-48,-480,Brush Teeth
1418318410.424,1176,944,-72,Brush Teeth
1418318410.507,624,232,-656,Brush Teeth
